Usage,Metric,Description,Category,Subcategory,Comments,NC,NM,OH,GP,AW,WM,PNW
Candidate,Headcut_score,Headcut indicator score,Geomorphological,Geomorphological,,Yes,,,,,,
Candidate,GradeControl_score,Grade control indicator score,Geomorphological,Geomorphological,,Yes,,,,,,
Candidate,NaturalValley_score,Natural valley indicator score,Geomorphological,Geomorphological,,Yes,,,,,,
Candidate,Sinuosity_score,Sinuosity indicator score,Geomorphological,Geomorphological,,Yes,Yes,,,,,
Candidate,ActiveFloodplain_score,Active floodplain indicator score,Geomorphological,Geomorphological,,Yes,,,,,,
Candidate,fp_entrenchmentratio_mean,Mean entrenchment ratio (capped at 2.5),Geomorphological,Geomorphological,,,,,,,,
Candidate,ChannelDimensions_score,Channel dimensions indicator score,Geomorphological,Geomorphological,,,Yes,,,,,
Candidate,RifflePoolSeq_score,Riffle-pool sequence indicator score,Geomorphological,Geomorphological,,Yes,Yes,,,,,
Candidate,oh_substrate_dominance_score,SDAM OH dominant substrate score,Geomorphological,Geomorphological,Too boiled down,,,,,,,
Candidate,oh_substrate_significance_score,SDAM OH significant substrate score,Geomorphological,Geomorphological,Too boiled down,,,,,,,
Candidate,tmean,Mean annual air temperature,Geospatial,Climate,,,,,,,,
Candidate,tmax,Max annual air temperature,Geospatial,Climate,,,,,,,,
Candidate,tmin,Min annual air temperature,Geospatial,Climate,,,,,,,,
Candidate,ppt,Mean annual precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m01,Mean Jan precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m02,Mean Feb precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m03,Mean Mar precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m04,Mean Apr precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m05,Mean May precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m06,Mean Jun precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m07,Mean Jul precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m08,Mean Aug precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m09,Mean Sep precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m10,Mean Oct precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m11,Mean Nov precipitation,Geospatial,Climate,,,,,,,,
Candidate,ppt.m12,Mean Dec precipitation,Geospatial,Climate,,,,,,,,
Candidate,temp.m01,Mean Jan air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m02,Mean Feb air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m03,Mean Mar air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m04,Mean Apr air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m05,Mean May air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m06,Mean Jun air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m07,Mean Jul air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m08,Mean Aug air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m09,Mean Sep air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m10,Mean Oct air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m11,Mean Nov air temperature,Geospatial,Climate,,,,,,,,
Candidate,temp.m12,Mean Dec air temperature,Geospatial,Climate,,,,,,,,
Candidate,MeanSnowPersistence_10,Mean snow persistence within 10 km,Geospatial,Climate,,,,,,,,
Candidate,MeanSnowPersistence_05,Mean snow persistence within 5 km,Geospatial,Climate,,,,,,,,
Candidate,MeanSnowPersistence_01,Mean snow persistence within 1 km,Geospatial,Climate,,,,,,,,
Do not use,SnowDom_SP10,Classification of the site as snow influenced based on MeanSnowPersistence_10,Geospatial,Climate,,,,,,,,
Stratification,SnowDom_SP05,Classification of the site as snow influenced based on MeanSnowPersistence_05,Geospatial,Climate,,,,,,,,
Do not use,SnowDom_SP01,Classification of the site as snow influenced based on MeanSnowPersistence_01,Geospatial,Climate,,,,,,,,
Candidate,BFI,Base flow index,Geospatial,Other,Not available for CB (at all?),,,,,,,
Candidate,Elev_m,Elevation (m),Geospatial,Other,,,,,,,,
Stratification,REGION,"Classification of the site as Northeast, Southeast, or Caribbean",Geospatial,Other,,,,,,,,
Do not use,Lat_field,Latitude in decimal degrees,Geospatial,Other,I think we excluded these from consideration,,,,,,,
Do not use,Long_field,Longitide in decimal degrees,Geospatial,Other,I think we excluded these from consideration,,,,,,,
Not a candidate,SurfaceFlow_pct,% of reach with surface flow,Hydrological,Direct measure of water presence,,,,,,,,
Not a candidate,SurfaceSubsurfaceFlow_pct,% of reach with surface or subsurface flow,Hydrological,Direct measure of water presence,,,,,,,,
Not a candidate,IsolatedPools_number,Number of isolated pools,Hydrological,Direct measure of water presence,,,,,,,,
Not a candidate,MaxPoolDepth,Max depth of deepest pool or deepest part of thalweg (cm),Hydrological,Direct measure of water presence,,,,,,,,
Not a candidate,springs_score,Presence (3) or absence (0) of springs or seeps in the channel,Hydrological,Direct measure of water presence,,Yes,springs_score_NM,,,,,
Not a candidate,baseflowscore,Baseflow indicator score,Hydrological,Direct measure of water presence,,Yes,WaterInChannel_score,,,,,
Not a candidate,SoilMoist_MeanScore,Soil moisture mean score,Hydrological,Direct measure of water presence,Missing from a couple site-visits,,,,,,,
Not a candidate,SoilMoist_MaxScore,Soil moisture max score,Hydrological,Direct measure of water presence,Missing from a couple site-visits,,,,,,,
Not a candidate,oh_pool_depth_score,SDAM OH pool depth score,Hydrological,Direct measure of water presence,,,,,,,,
Not a candidate; used to calculate performance statistics,wet,Is the stream flowing or dry based on the baseflow_score,Hydrological,Direct measure of water presence,,,,,,,,
Candidate,LeafLitter_score,Leaf litter indicator score,Hydrological,Indirect measure of water presence,,Yes,,,,,,
Candidate,ODL_score,Organic drift lines indicator score,Hydrological,Indirect measure of water presence,,Yes,,,,,,
Candidate,HydricSoils_score,Presence (3) or absence (0) of hydric soils,Hydrological,Indirect measure of water presence,,Yes,Yes,,,,,
Candidate,WoodyJams_number,Numer of woody jams observed in the reach,Hydrological,Indirect measure of water presence,,,,,,,,
Candidate,SedimentOnPlantsDebris_score,Sediment deposited on plants or debris,Hydrological,Indirect measure of water presence,Previously treated as geomorphological,Yes,Yes,,,,,
SDAM result,nm_score_final,SDAM NM index score,SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,nm_class1,"Classification by SDAM NM, incuding tentative categories",SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,nm_class2,"Classification by SDAM NM, excluding tentative categories",SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,nm_class_final,"Classification by SDAM NM, after applying single indicators",SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,AW_class,Classification by the Beta SDAM AW,SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,nc_score_final,SDAM NC index score,SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
Not a candidate,nc_geomorph_score_final,SDAM NC geomorphic subcomponent index score,SDAM result,SDAM result,Consider if many NC geomorphic indicators end up being selected,,,,,,,
SDAM result,nc_class,Classification by the SDAM NC,SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,oh_hhei_score,SDAM OH index score,SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,oh_class,SDAM OH classification (simplified),SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
SDAM result,oh_class_fullchart,SDAM OH classification (larger flowchart),SDAM result,SDAM result,Only for comparing outcomes,,,,,,,
Candidate,StreamOrder,Strahler stream order,Geospatial,Other,Required for SDAM NC; capped at 3,,,,,,,
Candidate,DRNAREA_mi2,For SDAM OH classification,Geospatial,Other,Required for SDAM OH,,,,,,,
Candidate,SubstrateSorting_score,Substrate sorting score,Geomorphological,Geomorphological,,,,,,,,
,,,,,,,,,,,,
