Record,Site_ID,Lat_Field,Long_Field,DRNAREA_mi2,Stream_name,Period,Region,Climate Class,Original Site,Class_actual,Class_nominal,Class_OSDAM,Class_final,Class_comb,SI_macro,SI_amph,SI_fish,Date,Time_tot,B&B,Structure,Texture,Erosion,Deposition,Sinuosity,Headcuts,GW,Springs,Leaflitter,Debris,Redox,Wetl_pl_M09,Roots,Mosses,Bacteria,Macro_M08,Macro_M09,Amph_M08,Amph_M09,Fish,Lichen,Riparian,Tot_geo_M09,Tot_hyd,Tot_bio_M09,Tot_all_M09,Width,Length,Slope_v,Slope_t,%Bedrock,SW_char,%SF,%SF_hyp,Pools,Q,Temp,Conduct,Thalwag,Straight,Ratio,Bends,Trichop,Hemip,Coleop,Decap,Ephem,Plecop,Basom,Odon,Other_macro,Macro_M09b,Macro_ind,Amph_ind,Wtl_pl_ind,Wet_hole,Dry_hole,Condition,Condition_2,Macro_present,Wtl_pl_present,Ephem_present,Per_macro_present,Slope_16,Slope_10_5
14,17,44.55917,-119.08483,9.77,Unnamed trib to Beech Creek,S09,OR_e,D,Y,I,I,P,I,I,1,0,0,4/21/2009,0:45,3,3,3,1.5,3,2,1,3,3,1.5,1,0,0.75,3,0,0,2,2,0,0,0,0,3,16.5,8.5,8.75,33.75,0.26,30,5,4,0,Continuous surface flow,100,VNA,NA,0.00728,5.3,253.3,30,25,1.2,6.5,3,0,0,0,4,1,0,0,4,2,Forestfly,none,VNA,5,NA,VNA,natural,1,1,1,0,0,1
15,18,44.55963,-119.08498,4.09,Cottonwood Creek,S09,OR_e,D,Y,P,P,P,P,P,1,1,0,6/10/2009,1:05,3,3,3,1.5,3,1,1.5,1,1,1.5,1.5,0,1.5,3,0.5,0,3,3,1.5,1.5,0,0,3,16,5,12.5,33.5,2.3,94.7,4,4,0,Continuous surface flow,100,VNA,NA,0.02219,10.8,114.6,94.7,86.5,1.09,4,4,2,1,0,4,3,0,0,0,4,5 EPT,amphibian eggs,VNA,-5,NA,VNA,modified natural,1,1,1,1,0,1
16,19,44.95712,-118.98797,7.95,Unnamed trib to West Fork Meadow Brook,S09,OR_e,D,Y,I,I,P,I,I,1,0,0,4/21/2009,1:20,3,3,3,1.5,3,2,1.5,2,0,1.5,1.5,0,0.75,3,1,0,2,2,0,0,0,0.5,3,17,5,10.25,32.25,1.6,62.7,11,10,30,Continuous surface flow,100,VNA,NA,0.00365,7,95.5,62.7,55,1.14,1.5,2,1,0,0,0,4,0,1,0,2,2 EPT,none,VNA,0,NA,VNA,natural,1,1,0,0,0,0
17,20,45.17308,-118.74405,62.4,Unnamed trib to Camas Creek,S09,OR_e,M,Y,I,P,I,I,I,1,0,0,4/21/2009,1:05,2,1,2,0.5,2,2,0,1,0,1.5,1.5,1.5,0.75,0,0.5,0,3,3,0,1,0,0,3,9.5,5.5,8.25,23.25,2.36,94.7,2,2,0,Continuous surface flow,100,VNA,NA,0.02563,12.5,43.2,94.7,86.2,1.1,4,3,0,1,0,0,0,1,0,4,4,Juga,adult frog,VNA,-5,NA,VNA,modified natural,1,1,0,1,0,1
18,21,45.17162,-118.6843,0.95,Unnamed trib to Camas Creek,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/21/2009,1:10,3,2,3,1,3,1,1,3,0,1.5,1,0,0.75,3,1.5,0,2,2,0,0,0,0,3,14,5.5,10.25,29.75,1.2,32,2,2,0,Continuous surface flow,100,VNA,NA,0.04657,9.1,42,32,31,1.03,0.5,2,0,0,0,2,2,0,0,0,2,northern caddisfly,none,VNA,5,NA,VNA,natural,1,1,1,0,0,1
19,22,45.17097,-118.67978,39.3,Unnamed trib to Camas Creek,S09,OR_e,M,Y,I,I,I,I,I,1,0,0,4/21/2009,0:54,3,3,3,1.5,3,2,0.5,0,0,1.5,1,0,0.75,1,0,0,3,2,0,0,0,0,0,16,2.5,3.75,22.25,1.16,33.3,4,4,0,Continuous surface flow,100,VNA,NA,0.00673,11.7,40.2,33.3,29.2,1.14,5.5,3,0,0,0,0,1,0,0,3,2,northern caddisfly,none,VNA,-30,NA,VNA,natural,1,1,0,0,0,1
20,23,45.16847,-118.66867,0.25,Unnamed trib to Camas Creek,S09,OR_e,M,Y,I,P,I,I,I,1,0,0,4/21/2009,0:30,2,2,3,1,2,0,0,2,0,1.5,0.5,0,0.75,1,0,0,3,2,0,0,0,0.5,0,10,4,4.25,18.25,1.06,46.7,9,9,0,Continuous surface flow,100,VNA,NA,0.01782,12.3,39.3,46.7,45.7,1.02,2.5,3,0,0,0,0,3,0,0,4,2,northern caddisfly,none,VNA,-30,NA,VNA,natural,1,1,0,0,0,1
21,25,45.17679,-118.62569,19.7,Unnamed trib to Rancheria Creek,S09,OR_e,M,Y,I,P,I,I,I,1,0,0,4/21/2009,0:55,3,0,1,0,0,1,0,1,0,1.5,0,1.5,0.75,3,1.5,2,3,3,0,0,0,0,3,5,4,13.25,22.25,1.53,50.6,1,1,0,Continuous surface flow,100,VNA,NA,TS,12.7,26.5,50.6,47,1.08,1,2,2,1,0,0,0,0,0,1,4,mussels,none,VNA,-15,NA,VNA,modified natural,1,1,0,1,0,1
22,26,45.175,-118.62984,0.14,Unnamed trib to Rancheria Creek,S09,OR_e,M,N,I,I,I,I,I,1,0,0,4/21/2009,0:24,2,2,3,1,2,0,0.5,2,3,1.5,1,0,0.75,0,1.5,0,2,2,0,0,0,0,0,10.5,7.5,4.25,22.25,1.06,42.6,13,13,0,Continuous surface flow,100,VNA,NA,TS,15.5,36.1,42.6,41.7,1.02,0.5,2,0,0,0,1,1,0,0,4,2,northern caddisfly,none,VNA,-30,NA,VNA,ditched,1,1,0,0,0,0
23,27,45.23072,-118.46338,9.89,Burnt Corral Creek,S09,OR_e,M,Y,P,P,P,P,P,1,1,1,6/10/2009,1:10,3,2,3,1.5,3,0,0.5,0,1,1.5,1.5,0,1.5,3,1,2,3,3,1.5,1.5,1,0,3,13,4,16,33,2.26,89.3,2,2,0,Continuous surface flow,100,VNA,NA,0.03376,13.1,98.3,89.3,88,1.01,0,4,3,0,0,4,3,0,0,0,4,golden stonefly,amphibian eggs,VNA,5,NA,VNA,modified natural,1,1,1,1,0,1
24,28,45.2316,-118.4616,3.78,Tybow Canyon Creek,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/21/2009,0:55,3,3,3,1.5,3,1,1,0,1,1.5,1.5,0,0.75,1,0,0,2,2,0,0,0,0.5,3,15.5,4,7.25,26.75,2.9,105.3,5,5,0,Continuous surface flow,100,VNA,NA,0.10757,11.1,50.4,100,95.8,1.04,2.5,3,2,0,0,0,1,0,0,4,2,Snowfly,none,VNA,-15,NA,VNA,natural,1,1,0,0,0,1
25,29,44.67218,-117.97961,0.27,Unnamed trib to Powder River,S09,OR_e,D,Y,E,P,I,E,E,0,0,0,4/22/2009,0:40,3,3,3,1.5,3,1,1.5,0,0,1,1.5,0,0,1,0,0,0,0,0,0,0,0.5,0,16,2.5,1.5,20,0.68,30,10,10,5,Surface water absent,0,VNA,0,0,NA,NA,30,29,1.03,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-28,VNA,natural,0,0,0,0,0,1
26,30,44.67478,-117.98775,0.046,Unnamed trib to Powder River,S09,OR_e,D,Y,E,E,E,E,E,0,0,0,4/22/2009,0:25,0,0,0,0,0,0,0,0,3,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,3,0.75,3.75,0,30,24,24,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-15,VNA,natural,0,1,0,0,1,0
27,31,44.68816,-118.01882,0.65,Unnamed trib to Powder River,S09,OR_e,M,Y,I,P,P,I,I,0,0,0,4/22/2009,0:50,3,3,3,1.5,3,1,1.5,1,0,1.5,1.5,0,1.5,3,0,0,0,0,0,0,0,0,1,16,4,5.5,25.5,0.7,30,5,5,0,Continuous surface flow,100,VNA,NA,0.00649,6.9,59.6,30,28.6,1.05,4.5,0,0,0,0,0,0,0,0,3,0,none,none,VNA,-22,NA,VNA,natural,0,1,0,0,0,1
28,32,44.60485,-117.85884,0.08,Unnamed trib to Stices Gulch,S09,OR_e,M,Y,E,E,E,E,E,0,0,0,4/22/2009,0:25,2,1,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5,0.7,30,40,38,0,Surface water absent,0,VNA,0,0,NA,NA,33.3,31.6,1.05,0.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,1,0
29,33,44.60154,-117.85836,0.07,Unnamed trib to Stices Gulch,S09,OR_e,M,Y,E,E,E,E,E,0,0,0,4/22/2009,0:30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,30,27,27,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,0.5,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,1,0
30,34,44.59635,-117.8564,0.21,Alder Springs,S09,OR_e,M,Y,I,P,I,I,I,1,0,0,4/22/2009,0:50,2,1,3,0.5,1,1,0.5,2,3,0,0,1.5,1.5,0,0.5,1,3,3,0,0,0,0,1,9,6.5,7,22.5,2.15,77,21,19,0,Surface flow present but not continuous,6,VNA,0,TS,6.2,81.2,77,69.5,1.11,1.5,1,0,0,0,1,0,1,0,1,4,Juga,none,VNA,-30,-50,VNA,modified natural,1,1,0,1,1,0
31,35,44.56219,-117.84875,0.05,Unnamed trib to Mill Creek,S09,OR_e,D,Y,E,E,E,E,E,0,0,0,4/22/2009,0:25,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,30,48,48,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-40,VNA,natural,0,0,0,0,1,0
32,36,44.52561,-117.84407,0.36,Unnamed trib to Mill Creek,S09,OR_e,D,Y,E,P,E,E,E,0,0,0,4/22/2009,0:35,2,2,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1.35,48,15,15,0,Surface water absent,0,VNA,0,0,NA,NA,48,47,1.02,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,0,0
33,37,44.52403,-117.84061,3.78,Unnamed trib to Mill Creek,S09,OR_e,D,Y,E,E,E,E,E,0,0,0,4/22/2009,0:28,2,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5,0.766,34.6,12,11,0,Surface water absent,0,VNA,0,0,NA,NA,34.6,32.6,1.06,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-15,VNA,natural,0,0,0,0,0,0
34,38,44.52053,-117.84316,3.89,Mill Creek,S09,OR_e,D,Y,P,P,P,I,I,1,0,0,4/22/2009,0:55,3,3,3,1.5,3,1,1.5,2,0,1.5,0.5,1.5,1.5,2,0,0,3,3,0,0,0,0,2,16,5.5,8.5,30,0.8,32,3,3,0,Continuous surface flow,100,VNA,NA,0.03084,12.8,199.7,32,29.5,1.08,2,1,0,0,0,0,1,0,1,0,4,clubtail dragonfly,none,VNA,-30,NA,VNA,natural,1,1,0,1,0,1
35,39,44.67637,-118.23494,1.31,Unnamed trib to Trout Creek,S09,OR_e,M,Y,I,P,I,I,I,1,0,0,4/22/2009,1:05,3,1,3,1,1,0,0,2,2,1.5,1,0,0.75,0,0,0,1,2,0,0,0,0,1,9,6.5,3.75,19.25,0.93,52,2,2,0,Continuous surface flow,100,VNA,NA,0.01968,16.3,143,52,51.6,1.01,0,1,0,0,0,0,0,0,0,0,2,northern caddisfly,none,VNA,-10,NA,VNA,ditched,1,1,0,0,0,1
36,40,44.66576,-118.25273,4.26,Three Cent Gulch,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/22/2009,1:15,3,3,3,1.5,3,3,0,1,1,1.5,1.5,0,0.75,3,0,0,2,2,0,0,0,0,1,16.5,5,6.75,28.25,2.36,96,2,2,0,Continuous surface flow,100,VNA,NA,0.23521,15.9,72.9,96,73.5,1.31,2.5,3,0,0,0,0,4,0,0,0,2,2 EPT,none,VNA,-5,NA,VNA,modified natural,1,1,0,0,0,1
37,41,44.65918,-118.27415,5.78,Dry Creek,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/22/2009,1:10,3,2,3,1.5,3,3,0,1,1,1.5,1.5,0,0.75,3,0.5,0,3,3,0,0,0,0,1,15.5,5,8.25,28.75,4.467,176,2,2,0,Continuous surface flow,100,VNA,NA,0.26748,14.6,63,176,154,1.14,4.5,3,0,0,0,2,4,0,0,0,3,5 EPT,none,VNA,0,NA,VNA,natural,1,1,1,0,0,1
38,42,44.6738,-118.35689,0.33,Unnamed trib to North Fork Burnt River,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/22/2009,0:50,3,3,3,1.5,3,3,1.5,3,3,1.5,1.5,1.5,0.75,3,0,0,3,3,0,0,0,0,3,18,10.5,9.75,38.25,1.34,64,6,5,0,Continuous surface flow,100,VNA,NA,0.01043,10.3,99.4,64,50,1.28,5.5,4,3,0,0,0,0,4,1,0,4,clubtail dragonfly,none,VNA,10,NA,VNA,natural,1,1,0,1,0,1
39,45,44.6343,-118.45863,0.32,Mill Creek,S09,OR_e,M,Y,I,P,P,I,I,0,0,0,4/23/2009,0:40,3,3,3,1.5,3,2,1.5,2,0,1.5,1.5,0,0,3,0,0,1,1,0,0,0,0,0,17,5,4,26,1,30,6,5,0,Continuous surface flow,100,VNA,NA,0.04634,4.3,47.5,30,26.2,1.15,4.5,0,0,0,0,0,0,0,0,3,1,midges,none,VNA,-30,NA,VNA,natural,1,0,0,0,0,1
40,46,44.61219,-118.47958,5.6,Mill Creek,S09,OR_e,M,Y,I,P,P,I,I,1,0,0,4/23/2009,0:40,3,3,3,1.5,3,2,1.5,2,0,1.5,1.5,1.5,0.75,3,1.5,0,1,2,0,0,0,0,2,17,6.5,9.25,32.75,3.13,102,4,4,0,Continuous surface flow,100,VNA,NA,0.53946,4.6,52.7,100,90.6,1.1,6,2,0,0,0,0,0,0,0,0,3,northern caddisfly,none,VNA,-30,NA,VNA,natural,1,1,0,0,0,1
41,47,44.54166,-118.53875,6.95,S. Fork Bridge Creek,S09,OR_e,M,Y,E,E,E,E,E,0,0,0,4/23/2009,0:17,1,2,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5,0,30,44,44,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,0,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-20,VNA,natural,0,0,0,0,1,0
42,48,44.53379,-118.5818,1.14,Bridge Creek,S09,OR_e,M,Y,P,P,P,I,I,0,0,0,4/23/2009,0:25,3,3,3,1.5,1,2,1,2,0,1.5,1,0,0.75,3,0,0,2,2,0,0,0,0,2,14.5,4.5,7.75,26.75,1.36,34,5,4,0,Continuous surface flow,100,VNA,NA,TL,3.6,122.3,34,28.7,1.18,2.5,0,0,0,0,2,3,0,0,0,2,2 EPT,none,VNA,0,NA,VNA,modified natural,1,1,1,0,0,1
43,49,44.53495,-118.58838,0.78,Unnamed trib to Bridge Creek,S09,OR_e,M,Y,P,P,P,I,I,0,0,0,4/23/2009,0:35,3,3,3,1.5,1,2,1,2,0,1.5,1.5,1.5,0.75,3,0,0,2,1,0,0,0,0,2,14.5,6.5,6.75,27.75,0.7,30,7,6,0,Continuous surface flow,100,VNA,NA,TL,4.3,153.5,30,26.8,1.12,4,0,0,0,0,1,2,0,0,0,1,2 EPT,none,VNA,-30,NA,VNA,modified natural,1,1,0,0,0,1
44,50,44.57602,-118.47093,0.1,Unnamed trib to Dry Fork Clear Creek,S09,OR_e,W,Y,E,E,E,E,E,0,0,0,4/23/2009,0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,1,0,Surface water absent,0,VNA,0,0,NA,NA,NA,30,NA,NA,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,modified natural,0,0,0,0,0,1
45,51,44.57826,-118.4381,0.05,Unnamed trib to Middle Fork John Day River,S09,OR_e,M,Y,I,I,I,I,I,1,0,0,4/23/2009,0:32,2,1,2,1,1,3,0,3,3,1.5,0.5,0,0.75,2,1,0,2,2,0,0,0,0,1,10,8,6.75,24.75,0.9,30,1,1,0,Continuous surface flow,100,VNA,NA,0.01806,10.1,56.1,30,23,1.3,1.5,2,0,0,0,0,0,2,0,2,2,northern caddisfly,none,VNA,-30,NA,VNA,modified natural,1,1,0,0,0,1
46,52,44.57916,-118.44289,2.04,Unnamed trib to Middle Fork John Day River,S09,OR_e,M,Y,I,I,P,I,I,0,0,0,4/22/2009,0:35,3,2,3,1.5,3,3,0.5,2,1,1.5,1.5,0,0,2,0.5,0,1,1,0,0,0,0,1,16,6,4.5,26.5,1.43,41.3,2,2,0,Continuous surface flow,100,VNA,NA,0.13253,10,49.9,41.3,33.1,1.25,2.5,0,0,0,0,0,0,0,0,2,1,midges,none,VNA,-30,NA,VNA,natural,1,0,0,0,0,1
47,53,44.5278,-118.31679,1.13,Unnamed trib to Middle Fork Burnt River,S09,OR_e,M,Y,I,I,P,I,I,1,0,0,4/22/2009,0:50,3,3,3,1.5,1,3,1.5,3,3,1.5,1.5,0,0.75,3,0,0,2,2,0,0,0,0,2,16,9,7.75,32.75,0.83,32,4,3,0,Continuous surface flow,100,VNA,NA,0.12258,8.2,75.1,32,26,1.23,4.5,1,0,0,0,0,0,0,0,4,2,northern caddisfly,none,VNA,-30,NA,VNA,natural,1,1,0,0,0,1
48,54,44.43486,-118.15735,0.07,Unnamed trib to Camp Creek,S09,OR_e,S,Y,E,E,E,E,E,0,0,0,4/22/2009,0:25,1,0,2,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5,0.36,30,2,2,0,Surface water absent,0,VNA,0,0,NA,NA,30,24,1.25,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-50,VNA,natural,0,0,0,0,0,1
49,55,43.78522,-117.71345,0.58,Unnamed trib to Malheur River,S09,OR_e,S,Y,E,I,I,E,E,0,0,0,3/24/2009,1:00,2,2,3,1.5,2,1,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,12,2,0.5,14.5,0.8,32,15,15,10,Surface water absent,0,VNA,0,0,NA,NA,32,31,1.03,1,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-15,VNA,natural,0,0,0,0,0,0
50,56,43.77974,-117.8254,0.04,Unnamed trib to Malheur River,S09,OR_e,S,Y,E,I,I,E,E,0,0,0,3/24/2009,0:45,3,2,3,1.5,1,1,0.5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,1,3,16,0.9,36,16,15,0,Surface water absent,0,VNA,0,0,NA,NA,36,34.8,1.03,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-30,VNA,natural,0,0,0,0,1,0
51,57,43.77965,-117.82545,0.04,Spring Creek,S09,OR_e,S,Y,I,I,P,I,I,1,1,0,3/24/2009,1:45,3,2,3,1,2,3,1.5,3,3,1.5,1,0,0.75,3,1.5,0,2,2,1,1.5,0,0,3,15.5,8.5,11.75,35.75,1.03,41,6,5,0,Continuous surface flow,100,VNA,NA,0.00509,7.4,206.6,41,36,1.14,3.5,2,0,2,0,0,3,0,0,0,2,2 EPT,amphibian eggs,VNA,-5,NA,VNA,natural,1,1,0,0,0,1
52,58,43.79375,-117.96696,0.13,Unnamed trib to Malheur River,S09,OR_e,S,Y,E,E,E,E,E,0,0,0,3/24/2009,0:40,1,1,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,6.5,0.66,30,16,15,0,Surface water absent,0,VNA,0,0,NA,NA,30,29,1.03,2,0,0,0,0,0,0,0,0,0,0,none,none,VNA,NA,-10,VNA,natural,0,0,0,0,1,0
